Epoch,Loss,PhatBar_1,PhatBar_2,S,S_1,S_2,TestingError,TrainingError
0,0.2534494996070862,0.6785072684288025,0.672810971736908,1301,655,646,0.30966323614120483,0.16129034757614136
1,0.2529192268848419,0.6784827709197998,0.6728052496910095,1301,655,646,0.3103953003883362,0.16129034757614136
2,0.25232574343681335,0.6784540414810181,0.6727995276451111,1301,655,646,0.3103953003883362,0.16055721044540405
3,0.25166064500808716,0.6784199476242065,0.6727938055992126,1301,655,646,0.30966323614120483,0.15982407331466675
4,0.250900536775589,0.6783788204193115,0.6727879643440247,1301,655,646,0.30966323614120483,0.15982407331466675
5,0.2500506341457367,0.6783303022384644,0.6727821230888367,1301,655,646,0.3103953003883362,0.16129034757614136
6,0.24911722540855408,0.6782737374305725,0.6727762818336487,1301,655,646,0.30966323614120483,0.16055721044540405
7,0.24809515476226807,0.6782066822052002,0.6727705001831055,1301,655,646,0.30673497915267944,0.15982407331466675
8,0.24700258672237396,0.6781288385391235,0.6727647185325623,1301,655,646,0.30673497915267944,0.15982407331466675
9,0.24582678079605103,0.6780372858047485,0.6727591753005981,1301,655,646,0.3074670433998108,0.15982407331466675
10,0.24882614612579346,0.6778982281684875,0.6721493005752563,1300,655,645,0.30819910764694214,0.15982407331466675
