PBC_p,Etr,Eval
1.0,0.26277777552604675,0.27299998998641967
2.0,0.2947777807712555,0.32199999690055847
3.0,0.28200000524520874,0.2939999997615814
4.0,0.29666666984558104,0.33299999833106997
5.0,0.27666667103767395,0.325
6.0,0.26699999570846555,0.3249999940395355
7.0,0.26344444751739504,0.303000009059906
8.0,0.2561111092567444,0.30300000309944153
9.0,0.24333333373069763,0.30600000023841856
10.0,0.2357777774333954,0.30099999308586123
11.0,0.23188889622688294,0.3009999871253967
12.0,0.22699999809265137,0.3049999952316284
13.0,0.2254444420337677,0.3100000023841858
14.0,0.2194444417953491,0.3029999971389771
15.0,0.22277777791023254,0.3029999971389771
16.0,0.21711111664772034,0.30100000500679014
17.0,0.20811110734939575,0.2960000097751617
18.0,0.2028888940811157,0.2919999957084656
19.0,0.20233333110809326,0.2959999978542328
20.0,0.19777777194976806,0.31600000262260436
21.0,0.19366666078567504,0.3120000004768372
22.0,0.19666666388511658,0.31199999451637267
23.0,0.19011110663414002,0.33799999952316284
24.0,0.1853333294391632,0.32800000309944155
25.0,0.18422222137451172,0.3240000009536743
26.0,0.17900000810623168,0.30600000619888307
27.0,0.1742222249507904,0.321999990940094
28.0,0.18122221827507018,0.31300000548362733
29.0,0.18133333325386047,0.310999995470047
30.0,0.17422221899032592,0.31299999356269836
31.0,0.169777774810791,0.3200000047683716
32.0,0.17044444084167482,0.3209999918937683
33.0,0.16655555963516236,0.3120000004768372
34.0,0.16366667151451111,0.30999999642372134
35.0,0.16166667342185975,0.31899999976158144
36.0,0.15822222232818603,0.3339999973773956
37.0,0.15844444632530214,0.3509999990463257
38.0,0.15800000429153443,0.31899999976158144
39.0,0.1549999952316284,0.3029999971389771
40.0,0.15222222208976746,0.31600000262260436
41.0,0.15299999713897705,0.310999995470047
42.0,0.14944443702697754,0.3199999928474426
43.0,0.15222221612930298,0.31899999976158144
44.0,0.14399999976158143,0.3259999930858612
45.0,0.14344444870948792,0.3319999992847443
46.0,0.1438888967037201,0.3159999907016754
47.0,0.14111111164093018,0.31800000071525575
48.0,0.13766666650772094,0.32600000500679016
49.0,0.1397777795791626,0.3390000104904175
50.0,0.13588888049125672,0.3009999871253967
51.0,0.13377777934074403,0.31899999380111693
52.0,0.1375555455684662,0.31799999475479124
53.0,0.12833333015441895,0.30899999141693113
54.0,0.12833333015441895,0.3139999985694885
55.0,0.12711111307144166,0.31500000357627866
56.0,0.1295555591583252,0.3129999995231628
57.0,0.12600000500679015,0.3350000023841858
58.0,0.12066666483879089,0.3009999990463257
59.0,0.12377777695655823,0.30100000500679014
60.0,0.12622222304344177,0.34199999570846557
61.0,0.11911110877990723,0.3310000002384186
62.0,0.11855555772781372,0.30600000023841856
63.0,0.1144444465637207,0.31500000357627866
64.0,0.11577778458595275,0.3230000019073486
65.0,0.11366667151451111,0.3129999995231628
66.0,0.11355555057525635,0.314000004529953
67.0,0.11177778244018555,0.3279999911785126
68.0,0.11799999475479125,0.3199999928474426
69.0,0.10733333230018616,0.3249999940395355
70.0,0.10944445133209228,0.33000001311302185
71.0,0.10899999737739563,0.3099999904632568
72.0,0.1058888852596283,0.32699999809265134
73.0,0.10333333015441895,0.31800000071525575
74.0,0.1001111090183258,0.31899999976158144
75.0,0.1014444351196289,0.3330000042915344
76.0,0.09722221493721009,0.3290000021457672
77.0,0.0987777829170227,0.3169999957084656
78.0,0.09733332991600037,0.3199999928474426
79.0,0.10011110305786133,0.30799999833106995
80.0,0.0974444329738617,0.3000000059604645
81.0,0.09666666388511658,0.3110000014305115
82.0,0.09188889265060425,0.3169999957084656
83.0,0.09688889384269714,0.33100000619888303
84.0,0.0909999966621399,0.3249999940395355
85.0,0.09355555772781372,0.3339999973773956
86.0,0.09466666579246522,0.3319999992847443
87.0,0.0877777874469757,0.3269999921321869
88.0,0.0941111147403717,0.32399999499320986
89.0,0.08988889455795288,0.3179999887943268
90.0,0.08855555057525635,0.31300000548362733
91.0,0.08522222042083741,0.3119999885559082
92.0,0.0857777714729309,0.31000001430511476
93.0,0.08466666340827941,0.3149999976158142
94.0,0.08522222042083741,0.31899999380111693
95.0,0.08688889145851135,0.3169999897480011
96.0,0.08477777838706971,0.3319999992847443
97.0,0.08288889527320861,0.3149999976158142
98.0,0.0840000033378601,0.32100000977516174
99.0,0.0802222192287445,0.31899999380111693
100.0,0.08144444823265076,0.3309999883174896
